date,stock_id,link,source,title
2020-03-31 07:00:00,1414,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%9D%B1%E5%92%8C%E9%8B%BC%E9%90%B5%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E8%82%A1%E5%88%A9%E9%85%8D%E7%99%BC%E5%9F%BA%E6%BA%96%E6%97%A5%E7%9B%B8%E9%97%9C%E4%BA%8B%E5%AE%9C-092927767.html,Yahoo奇摩股市,【公告】東和鋼鐵董事會決議股利配發基準日相關事宜 - Yahoo奇摩股市
2020-04-30 07:00:00,1414,https://tw.stock.yahoo.com/news/%E5%80%8B%E8%82%A1-%E6%9D%B1%E5%92%8C-1414-%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0-108%E5%B9%B4%E5%BA%A6%E6%93%AC%E6%AF%8F%E8%82%A1%E9%85%8D%E6%81%AF0-025142737.html,Yahoo奇摩股市,個股：東和(1414)董事會決議，108年度擬每股配息0.2元 - Yahoo奇摩股市
2020-05-19 07:00:00,1414,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%9D%B1%E5%92%8C%E9%8B%BC%E9%90%B5109%E5%B9%B4%E8%82%A1%E6%9D%B1%E5%B8%B8%E6%9C%83%E6%94%B9%E9%81%B8%E8%91%A3%E4%BA%8B-%E5%90%AB%E7%8D%A8%E7%AB%8B%E8%91%A3%E4%BA%8B-120958479.html,Yahoo奇摩股市,【公告】東和鋼鐵109年股東常會改選董事(含獨立董事) - Yahoo奇摩股市
2020-07-10 07:00:00,1414,https://tw.stock.yahoo.com/news/%E7%87%9F%E6%94%B6-%E6%9D%B1%E5%92%8C-1414-6%E6%9C%88%E7%87%9F%E6%94%B63598%E8%90%AC%E5%85%83-%E6%9C%88%E5%A2%9E%E7%8E%879-064144449.html,Yahoo奇摩股市,營收：東和(1414)6月營收3598萬元，月增率9.60%，年增率-42.26% - Yahoo奇摩股市
2020-10-30 07:00:00,1414,https://m.cnyes.com/news/id/4537428,鉅亨網,〈熱門股〉資產題材成避風港 東和獲買盤簇擁登逾8年半新高 - 鉅亨網
2020-10-31 07:00:00,1414,https://tw.stock.yahoo.com/news/%E7%86%B1%E9%96%80%E8%82%A1-%E8%B3%87%E7%94%A2%E9%A1%8C%E6%9D%90%E6%88%90%E9%81%BF%E9%A2%A8%E6%B8%AF-%E6%9D%B1%E5%92%8C%E7%8D%B2%E8%B2%B7%E7%9B%A4%E7%B0%87%E6%93%81%E7%99%BB%E9%80%BE8%E5%B9%B4%E5%8D%8A%E6%96%B0%E9%AB%98-041759903.html,Yahoo奇摩股市,〈熱門股〉資產題材成避風港 東和獲買盤簇擁登逾8年半新高 - Yahoo奇摩股市
2020-11-01 07:00:00,1414,https://www.chinatimes.com/newspapers/20201101000195-260210,中時新聞網,量價多頭態勢 藥物試驗報捷 東和生華科 迎行情 - 中時新聞網
2020-11-01 07:00:00,1414,https://ctee.com.tw/matchplay/361628.html,工商時報,陳學進︱東和量價多頭態勢生華科藥物試驗報捷 - 工商時報
2020-11-02 08:00:00,1414,https://www.chinatimes.com/realtimenews/20201102001517-260410,中時新聞網 Chinatimes.com,《台北股市》盤中焦點股：東森、正文、中美實、東和、台表科、豪展 - 中時新聞網 Chinatimes.com
2020-11-03 08:00:00,1414,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%9D%B1%E5%92%8C%E6%9C%89%E5%83%B9%E8%AD%89%E5%88%B8%E6%96%BC%E9%9B%86%E4%B8%AD%E4%BA%A4%E6%98%93%E5%B8%82%E5%A0%B4%E9%81%94%E5%85%AC%E5%B8%83%E6%B3%A8%E6%84%8F%E4%BA%A4%E6%98%93%E8%B3%87%E8%A8%8A%E6%A8%99%E6%BA%96-085841623.html,Yahoo奇摩股市,【公告】東和有價證券於集中交易市場達公布注意交易資訊標準 - Yahoo奇摩股市
