date,stock_id,dividend_yield,PER,PBR
2005-09-05,1234,2.12,0.0,0.55
2005-09-06,1234,2.11,0.0,0.56
2005-09-07,1234,2.14,0.0,0.55
2005-09-08,1234,2.15,0.0,0.55
2005-09-09,1234,2.14,0.0,0.55
2005-09-12,1234,2.16,0.0,0.54
2005-09-13,1234,2.16,0.0,0.54
2005-09-14,1234,2.13,0.0,0.55
2005-09-15,1234,2.17,0.0,0.54
2005-09-16,1234,2.19,0.0,0.54
2005-09-19,1234,2.19,0.0,0.54
2005-09-20,1234,2.19,0.0,0.54
2005-09-21,1234,2.19,0.0,0.54
2005-09-23,1234,2.24,0.0,0.52
2005-09-26,1234,2.27,0.0,0.52
2005-09-27,1234,2.27,0.0,0.52
2005-09-28,1234,2.3,0.0,0.51
2005-09-29,1234,2.25,0.0,0.52
2005-09-30,1234,2.22,0.0,0.53
2005-10-04,1234,2.22,0.0,0.53
2005-10-05,1234,2.26,0.0,0.52
2005-10-06,1234,2.27,0.0,0.52
2005-10-07,1234,2.25,0.0,0.52
2005-10-11,1234,2.3,0.0,0.51
2005-10-12,1234,2.32,0.0,0.51
2005-10-13,1234,2.33,0.0,0.5
2005-10-14,1234,2.28,0.0,0.52
2005-10-17,1234,2.31,0.0,0.51
2005-10-18,1234,2.3,0.0,0.51
2005-10-19,1234,2.3,0.0,0.51
2005-10-20,1234,2.37,0.0,0.5
2005-10-21,1234,2.37,0.0,0.5
2005-10-24,1234,2.36,0.0,0.5
2005-10-25,1234,2.37,0.0,0.5
2005-10-26,1234,2.39,0.0,0.49
2005-10-27,1234,2.37,0.0,0.5
2005-10-28,1234,2.38,0.0,0.48
2005-10-31,1234,2.3,86.9,0.5
2005-11-01,1234,2.32,86.2,0.5
2005-11-02,1234,2.33,85.7,0.49
2005-11-03,1234,2.38,84.0,0.48
2005-11-04,1234,2.37,84.3,0.48
2005-11-07,1234,2.39,83.6,0.48
2005-11-08,1234,2.37,84.3,0.48
2005-11-09,1234,2.38,84.1,0.48
2005-11-10,1234,2.36,84.9,0.49
2005-11-11,1234,2.33,85.8,0.49
2005-11-14,1234,2.32,86.3,0.5
2005-11-15,1234,2.3,87.0,0.5
2005-11-16,1234,2.34,85.5,0.49
2005-11-17,1234,2.35,85.0,0.49
2005-11-18,1234,2.35,85.0,0.49
2005-11-21,1234,2.36,84.6,0.49
2005-11-22,1234,2.34,85.5,0.49
2005-11-23,1234,2.36,84.7,0.49
2005-11-24,1234,2.36,84.7,0.49
2005-11-25,1234,2.35,85.1,0.49
2005-11-28,1234,2.33,85.8,0.49
2005-11-29,1234,2.35,85.1,0.49
2005-11-30,1234,2.33,85.7,0.49
2005-12-01,1234,2.29,87.5,0.5
2005-12-02,1234,2.33,86.0,0.49
2005-12-05,1234,2.26,88.6,0.51
2005-12-06,1234,2.24,89.2,0.51
2005-12-07,1234,2.24,89.2,0.51
2005-12-08,1234,2.23,89.7,0.52
2005-12-09,1234,2.22,89.9,0.52
2005-12-12,1234,2.22,89.9,0.52
2005-12-13,1234,2.27,88.0,0.51
2005-12-14,1234,2.26,88.5,0.51
2005-12-15,1234,2.23,89.5,0.51
2005-12-16,1234,2.21,90.4,0.52
2005-12-19,1234,2.17,92.2,0.53
2005-12-20,1234,2.19,91.3,0.53
2005-12-21,1234,2.16,92.6,0.53
2005-12-22,1234,2.19,91.5,0.53
2005-12-23,1234,2.14,93.5,0.54
2005-12-26,1234,2.15,93.0,0.53
2005-12-27,1234,2.13,94.0,0.54
2005-12-28,1234,2.15,93.0,0.53
2005-12-29,1234,2.15,93.1,0.54
2005-12-30,1234,2.15,93.0,0.53
2006-01-02,1234,2.19,91.5,0.53
2006-01-03,1234,2.19,91.4,0.53
2006-01-04,1234,2.22,89.9,0.52
2006-01-05,1234,2.21,90.7,0.52
2006-01-06,1234,2.2,90.9,0.52
2006-01-09,1234,2.15,93.2,0.54
2006-01-10,1234,2.22,90.0,0.52
2006-01-11,1234,2.16,92.8,0.53
2006-01-12,1234,2.16,92.8,0.53
2006-01-13,1234,2.16,92.6,0.53
2006-01-16,1234,2.18,91.6,0.53
2006-01-17,1234,2.2,91.1,0.52
2006-01-18,1234,2.22,90.0,0.52
2006-01-19,1234,2.22,90.0,0.52
2006-01-20,1234,2.22,90.0,0.52
2006-01-23,1234,2.25,89.0,0.51
2006-01-24,1234,2.22,90.0,0.52
2006-01-25,1234,2.21,90.3,0.52
2006-02-03,1234,2.19,91.5,0.53
2006-02-06,1234,2.21,90.7,0.52
2006-02-07,1234,2.18,91.8,0.53
2006-02-08,1234,2.21,90.6,0.52
2006-02-09,1234,2.2,91.0,0.52
2006-02-10,1234,2.21,90.5,0.52
2006-02-13,1234,2.23,89.7,0.52
2006-02-14,1234,2.21,90.6,0.52
2006-02-15,1234,2.22,90.0,0.52
2006-02-16,1234,2.21,90.5,0.52
2006-02-17,1234,2.22,90.0,0.52
2006-02-20,1234,2.23,89.5,0.51
2006-02-21,1234,2.23,89.5,0.51
2006-02-22,1234,2.25,88.8,0.51
2006-02-23,1234,2.25,88.8,0.51
2006-02-24,1234,2.22,90.0,0.52
2006-02-27,1234,2.25,89.0,0.51
2006-03-01,1234,2.25,88.8,0.51
2006-03-02,1234,2.24,89.1,0.51
2006-03-03,1234,2.26,88.6,0.51
2006-03-06,1234,2.28,87.6,0.5
2006-03-07,1234,2.28,87.9,0.51
2006-03-08,1234,2.26,88.6,0.51
2006-03-09,1234,2.27,88.0,0.51
2006-03-10,1234,2.28,87.8,0.5
2006-03-13,1234,2.29,87.3,0.5
2006-03-14,1234,2.27,88.0,0.51
2006-03-15,1234,2.29,87.3,0.5
2006-03-16,1234,2.29,87.3,0.5
2006-03-17,1234,2.28,87.9,0.51
2006-03-20,1234,2.3,86.9,0.5
2006-03-21,1234,2.31,86.7,0.5
2006-03-22,1234,2.29,87.5,0.5
2006-03-23,1234,2.28,87.6,0.5
2006-03-24,1234,2.28,87.8,0.5
2006-03-27,1234,2.27,88.0,0.51
2006-03-28,1234,2.28,87.8,0.5
2006-03-29,1234,2.3,87.1,0.5
2006-03-30,1234,2.3,87.1,0.5
2006-03-31,1234,2.29,87.3,0.5
2006-04-03,1234,2.29,87.3,0.5
2006-04-04,1234,2.28,87.6,0.5
2006-04-06,1234,2.27,88.0,0.51
2006-04-07,1234,2.28,87.8,0.5
2006-04-10,1234,2.27,88.3,0.51
2006-04-11,1234,2.26,88.5,0.51
2006-04-12,1234,2.23,89.8,0.52
2006-04-13,1234,2.19,91.5,0.53
2006-04-14,1234,2.2,91.1,0.52
2006-04-17,1234,2.14,93.3,0.54
2006-04-18,1234,2.17,92.3,0.53
2006-04-19,1234,2.16,92.6,0.53
2006-04-20,1234,2.13,93.8,0.54
2006-04-21,1234,2.13,52.06,0.54
2006-04-24,1234,2.05,54.17,0.56
2006-04-25,1234,1.96,56.67,0.59
2006-04-26,1234,2.29,60.56,0.63
2006-04-27,1234,2.16,64.44,0.67
2006-04-28,1234,2.22,62.5,0.65
2006-05-02,1234,2.19,63.33,0.66
2006-05-03,1234,2.06,67.5,0.7
2006-05-04,1234,1.92,72.22,0.75
2006-05-05,1234,1.81,76.67,0.8
2006-05-09,1234,1.59,87.5,0.91
2006-05-10,1234,1.59,87.5,0.91
2006-05-11,1234,1.63,85.0,0.88
2006-05-12,1234,1.71,81.11,0.84
2006-05-15,1234,1.6,86.67,0.9
2006-05-16,1234,1.72,80.83,0.84
2006-05-17,1234,1.85,75.28,0.78
2006-05-18,1234,1.73,80.28,0.84
2006-05-19,1234,1.75,79.44,0.83
2006-05-22,1234,1.88,73.89,0.77
2006-05-23,1234,1.89,73.33,0.76
2006-05-24,1234,1.81,76.67,0.8
2006-05-25,1234,1.75,79.44,0.83
2006-05-26,1234,1.84,75.56,0.79
2006-05-29,1234,1.95,71.39,0.74
2006-05-30,1234,2.08,66.67,0.69
2006-06-01,1234,1.95,71.11,0.74
2006-06-02,1234,1.87,74.44,0.77
2006-06-05,1234,2.0,69.44,0.72
2006-06-06,1234,2.03,68.33,0.71
2006-06-07,1234,2.03,68.33,0.71
2006-06-08,1234,2.16,64.44,0.67
2006-06-09,1234,2.09,66.39,0.69
2006-06-12,1234,2.1,66.11,0.69
2006-06-13,1234,2.12,65.56,0.68
2006-06-14,1234,2.01,69.17,0.72
2006-06-15,1234,2.11,65.83,0.68
2006-06-16,1234,1.98,70.28,0.73
2006-06-19,1234,1.86,74.72,0.78
2006-06-20,1234,1.86,74.72,0.78
2006-06-21,1234,1.99,69.72,0.73
2006-06-22,1234,1.87,74.44,0.77
2006-06-23,1234,1.77,78.61,0.82
2006-06-26,1234,1.76,78.89,0.82
2006-06-27,1234,1.79,77.78,0.81
2006-06-28,1234,1.74,80.0,0.83
2006-06-29,1234,1.66,83.61,0.87
2006-06-30,1234,1.68,82.78,0.86
2006-07-03,1234,1.63,85.0,0.88
2006-07-04,1234,1.61,86.39,0.9
2006-07-05,1234,1.68,82.5,0.86
2006-07-06,1234,1.64,84.44,0.88
2006-07-07,1234,1.77,78.61,0.82
